Stock Information for Ticker: TSLA
High         1.964112e+02
Low          1.878469e+02
Open         1.922876e+02
Close        1.923936e+02
Volume       4.441423e+07
Adj Close    1.923936e+02


              High          Low         Open        Close        Volume    Adj Close
count  1258.000000  1258.000000  1258.000000  1258.000000  1.258000e+03  1258.000000
mean    196.411180   187.846851   192.287628   192.393562  4.441423e+07   192.393562
std     240.219441   229.904260   235.359001   235.411583  3.034186e+07   235.411583
min      36.945999    35.397999    36.220001    35.793999  9.387500e+06    35.793999
25%      56.757999    54.983500    55.746999    55.819499  2.474150e+07    55.819499
50%      68.577000    66.043999    67.264000    67.103001  3.496850e+07    67.103001
75%     196.346500   182.348003   187.176498   189.521496  5.211238e+07   189.521496
max     900.400024   871.599976   891.380005   883.090027  3.046940e+08   883.090027


             ds        trend   yhat_lower   yhat_upper  trend_lower  trend_upper  additive_terms  additive_terms_lower  additive_terms_upper    weekly  weekly_lower  weekly_upper     yearly  yearly_lower  yearly_upper  multiplicative_terms  multiplicative_terms_lower  multiplicative_terms_upper         yhat
79   2017-01-03    43.270785    23.466202   143.984520    43.270785    43.270785       42.501853             42.501853             42.501853 -2.851961     -2.851961     -2.851961  45.353814     45.353814     45.353814                   0.0                         0.0                         0.0    85.772638
80   2017-01-04    43.449935    27.604996   145.548274    43.449935    43.449935       44.015567             44.015567             44.015567 -3.286707     -3.286707     -3.286707  47.302274     47.302274     47.302274                   0.0                         0.0                         0.0    87.465502
81   2017-01-05    43.635714    27.264196   152.358450    43.635714    43.635714       45.555338             45.555338             45.555338 -3.668538     -3.668538     -3.668538  49.223877     49.223877     49.223877                   0.0                         0.0                         0.0    89.191052
82   2017-01-06    43.821493    30.413771   146.244130    43.821493    43.821493       46.872215             46.872215             46.872215 -4.229679     -4.229679     -4.229679  51.101894     51.101894     51.101894                   0.0                         0.0                         0.0    90.693708
83   2017-01-09    44.378830    42.021395   158.605840    44.378830    44.378830       54.084683             54.084683             54.084683 -2.244307     -2.244307     -2.244307  56.328990     56.328990     56.328990                   0.0                         0.0                         0.0    98.463513
84   2017-01-10    44.564609    42.447521   160.358413    44.564609    44.564609       55.044212             55.044212             55.044212 -2.851961     -2.851961     -2.851961  57.896172     57.896172     57.896172                   0.0                         0.0                         0.0    99.608821
85   2017-01-11    44.750388    39.006494   155.365044    44.750388    44.750388       56.074329             56.074329             56.074329 -3.286707     -3.286707     -3.286707  59.361036     59.361036     59.361036                   0.0                         0.0                         0.0   100.824717
86   2017-01-12    44.936167    41.492160   157.978186    44.936167    44.936167       57.049390             57.049390             57.049390 -3.668538     -3.668538     -3.668538  60.717928     60.717928     60.717928                   0.0                         0.0                         0.0   101.985556
87   2017-01-13    45.121946    46.034858   162.902112    45.121946    45.121946       57.733632             57.733632             57.733632 -4.229679     -4.229679     -4.229679  61.963311     61.963311     61.963311                   0.0                         0.0                         0.0   102.855577
88   2017-01-17    45.865062    50.372985   164.489306    45.865062    45.865062       62.974610             62.974610             62.974610 -2.851961     -2.851961     -2.851961  65.826571     65.826571     65.826571                   0.0                         0.0                         0.0   108.839672
89   2017-01-18    46.050841    55.825614   164.701554    46.050841    46.050841       63.239580             63.239580             63.239580 -3.286707     -3.286707     -3.286707  66.526287     66.526287     66.526287                   0.0                         0.0                         0.0   109.290421
90   2017-01-19    46.236620    49.828747   169.258283    46.236620    46.236620       63.460735             63.460735             63.460735 -3.668538     -3.668538     -3.668538  67.129273     67.129273     67.129273                   0.0                         0.0                         0.0   109.697355
91   2017-01-20    46.422399    50.663230   170.791150    46.422399    46.422399       63.412065             63.412065             63.412065 -4.229679     -4.229679     -4.229679  67.641744     67.641744     67.641744                   0.0                         0.0                         0.0   109.834464
